"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
112;3;"—";175;"58 64 51";2;"Участвуете в конкурсе";1728374;"06.07.2026 в 22:35"
113;4;"—";174;"51 64 57";2;"На рассмотрении";2186838;"18.07.2026 в 08:01"
114;4;"Бумажное";174;"58 52 54";10;"Участвуете в конкурсе";2081451;"14.07.2026 в 14:28"
115;2;"—";173;"56 46 61";10;"Участвуете в конкурсе";1037669;"13.07.2026 в 14:55"
116;5;"Электронное";171;"58 58 55";0;"Участвуете в конкурсе";1660126;"06.07.2026 в 07:38"
117;1;"—";171;"59 64 46";2;"Участвуете в конкурсе";1491263;"03.07.2026 в 18:32"
118;5;"—";171;"80 81";10;"На рассмотрении";1304311;"13.07.2026 в 18:12"
119;4;"Бумажное";171;"61 52 48";10;"Участвуете в конкурсе";1661693;"06.07.2026 в 08:24"
120;3;"—";170;"56 52 60";2;"Участвуете в конкурсе";1815526;"08.07.2026 в 13:28"
121;1;"—";169;"58 52 57";2;"Участвуете в конкурсе";1193567;"28.06.2026 в 13:54"
122;1;"Электронное";169;"64 46 57";2;"Участвуете в конкурсе";1460599;"02.07.2026 в 10:31"
123;5;"—";169;"54 58 55";2;"Участвуете в конкурсе";1531672;"03.07.2026 в 13:56"
124;2;"Бумажное";169;"49 64 54";2;"Участвуете в конкурсе";1864425;"09.07.2026 в 08:34"
125;1;"—";169;"78 81";10;"На рассмотрении";1406061;"05.07.2026 в 11:09"
126;3;"—";169;"43 64 52";10;"Участвуете в конкурсе";1864849;"09.07.2026 в 08:47"
127;1;"—";168;"56 52 58";2;"Участвуете в конкурсе";2117590;"15.07.2026 в 12:35"
128;3;"Бумажное";166;"49 58 55";4;"Участвуете в конкурсе";1379686;"01.07.2026 в 10:11"
129;3;"—";165;"44 64 55";2;"Участвуете в конкурсе";1263619;"29.06.2026 в 21:48"
130;2;"Бумажное";164;"53 64 45";2;"Участвуете в конкурсе";1373571;"01.07.2026 в 08:33"
131;1;"Бумажное";163;"53 40 70";0;"Участвуете в конкурсе";1525903;"03.07.2026 в 07:30"
132;1;"—";163;"46 52 55";10;"Участвуете в конкурсе";1069073;"23.06.2026 в 16:45"
133;1;"—";163;"43 58 52";10;"На рассмотрении";1512602;"16.07.2026 в 22:08"
134;5;"Электронное";162;"48 64 48";2;"Конкурсная группа исключена";1264393;"07.07.2026 в 13:56"
135;3;"—";162;"48 52 60";2;"Участвуете в конкурсе";1994844;"12.07.2026 в 14:10"
136;4;"—";162;"82 78";2;"На рассмотрении";2217776;"17.07.2026 в 16:37"
137;1;"—";161;"48 64 49";0;"Участвуете в конкурсе";1072815;"23.06.2026 в 19:07"
138;5;"—";161;"46 58 57";0;"На рассмотрении";1958399;"10.07.2026 в 19:07"
139;3;"—";161;"43 58 60";0;"Передано в вуз";2241112;"18.07.2026 в 13:01"
140;4;"—";161;"49 64 46";2;"На рассмотрении";2227595;"17.07.2026 в 21:45"
141;4;"Электронное";160;"54 58 46";2;"Участвуете в конкурсе";1344537;"30.06.2026 в 16:48"
142;2;"Бумажное";160;"80 70";10;"На рассмотрении";1385405;"01.07.2026 в 11:08"
143;1;"Электронное";159;"41 64 52";2;"Участвуете в конкурсе";1258382;"29.06.2026 в 21:40"
144;3;"—";159;"51 52 54";2;"Участвуете в конкурсе";1306001;"30.06.2026 в 10:33"
145;4;"—";158;"44 58 54";2;"Участвуете в конкурсе";1460286;"02.07.2026 в 10:28"
146;2;"—";157;"49 46 60";2;"Участвуете в конкурсе";1314049;"30.06.2026 в 11:52"
147;1;"—";156;"44 64 46";2;"Участвуете в конкурсе";1558928;"03.07.2026 в 17:42"
148;1;"—";155;"83 70";2;"Конкурсная группа исключена";1115339;"25.06.2026 в 11:22"
149;2;"—";155;"53 58 42";2;"Участвуете в конкурсе";1365445;"30.06.2026 в 23:30"
150;3;"—";154;"46 58 48";2;"Участвуете в конкурсе";1540002;"03.07.2026 в 12:27"
151;2;"—";147;"44 46 55";2;"Участвуете в конкурсе";1254736;"29.06.2026 в 21:35"
152;2;"Бумажное";147;"49 54 42";2;"Участвуете в конкурсе";1455835;"03.07.2026 в 09:26"
153;2;"Бумажное";147;"44 46 55";2;"Участвуете в конкурсе";1824037;"08.07.2026 в 13:01"
154;4;"—";146;"23 67 54";2;"На рассмотрении";1260572;"29.06.2026 в 21:43"
155;4;"Бумажное";144;"44 52 48";0;"Участвуете в конкурсе";1662902;"16.07.2026 в 07:50"
156;1;"—";144;"44 52 46";2;"Участвуете в конкурсе";1395150;"04.07.2026 в 15:36"
157;2;"—";142;"74 66";2;"На рассмотрении";1185650;"28.06.2026 в 10:51"
158;4;"Бумажное";139;"43 46 48";2;"Участвуете в конкурсе";1304981;"30.06.2026 в 10:22"
159;4;"—";138;"41 52 43";2;"Участвуете в конкурсе";2115795;"15.07.2026 в 12:06"
160;5;"—";137;"44 40 51";2;"На рассмотрении";2214535;"17.07.2026 в 15:41"
161;1;"—";135;"46 46 43";0;"Участвуете в конкурсе";1226978;"29.06.2026 в 12:37"
162;1;"—";135;"64 61";10;"На рассмотрении";1700234;"06.07.2026 в 15:22"
163;5;"—";131;"74 55";2;"На рассмотрении";1610706;"15.07.2026 в 19:22"
164;3;"—";129;"41 40 46";2;"На рассмотрении";2087151;"14.07.2026 в 15:57"
165;5;"—";128;"70 48";10;"На рассмотрении";1910679;"09.07.2026 в 21:18"
166;4;"—";127;"59 66";2;"На рассмотрении";1890575;"09.07.2026 в 14:30"
167;3;"—";126;"64 52";10;"На рассмотрении";1208731;"09.07.2026 в 14:55"
168;1;"Бумажное";112;"64 46";2;"На рассмотрении";2195841;"17.07.2026 в 11:07"
169;1;"—";111;"44 57";10;"На рассмотрении";1578759;"03.07.2026 в 19:51"
170;3;"—";108;"54 54";0;"Передано в вуз";1896614;"18.07.2026 в 12:30"
171;4;"Электронное";106;"58 46";2;"На рассмотрении";1616201;"04.07.2026 в 16:38"
172;1;"—";105;"51 52";2;"На рассмотрении";2173747;"16.07.2026 в 17:55"
173;2;"—";105;"58 45";2;"На рассмотрении";2190577;"17.07.2026 в 09:33"
174;5;"—";102;"48 52";2;"На рассмотрении";1126570;"01.07.2026 в 18:21"
175;5;"—";101;"54 45";2;"На рассмотрении";1231418;"16.07.2026 в 17:34"
176;2;"—";71;"28 33";10;"На рассмотрении";1432250;"01.07.2026 в 19:29"
177;4;"—";61;"51";10;"На рассмотрении";1453847;"16.07.2026 в 07:31"
178;1;"—";48;"48";0;"На рассмотрении";1376411;"15.07.2026 в 14:04"
179;1;"Бумажное";10;"";10;"На рассмотрении";2145663;"16.07.2026 в 08:02"
180;1;"—";0;"";0;"На рассмотрении";1059487;"23.06.2026 в 13:21"
181;3;"—";0;"";0;"Конкурсная группа исключена";1173474;"27.06.2026 в 16:42"
182;4;"—";0;"";0;"Конкурсная группа исключена";1373874;"01.07.2026 в 09:53"
183;4;"—";0;"";0;"На рассмотрении";1386642;"01.07.2026 в 11:29"
184;2;"Бумажное";0;"";0;"На рассмотрении";1387389;"01.07.2026 в 11:26"
185;2;"—";0;"";0;"Конкурсная группа исключена";1389566;"01.07.2026 в 11:45"
186;1;"—";0;"";0;"Конкурсная группа исключена";1501598;"02.07.2026 в 17:06"
187;2;"Бумажное";0;"";0;"На рассмотрении";1695187;"06.07.2026 в 14:02"
188;1;"Бумажное";0;"";0;"На рассмотрении";1883978;"09.07.2026 в 13:11"
189;1;"Бумажное";0;"";0;"На рассмотрении";1921090;"10.07.2026 в 08:57"
190;2;"Бумажное";0;"";0;"На рассмотрении";1921117;"10.07.2026 в 08:58"
191;3;"Электронное";0;"";0;"Конкурсная группа исключена";2057748;"14.07.2026 в 05:25"
192;1;"Бумажное";0;"";0;"На рассмотрении";2058805;"14.07.2026 в 07:13"
193;1;"—";0;"";0;"На рассмотрении";2065607;"14.07.2026 в 10:35"
194;1;"—";0;"";0;"Конкурсная группа исключена";2110218;"15.07.2026 в 11:23"
195;1;"Бумажное";0;"";0;"На рассмотрении";2119221;"15.07.2026 в 13:22"
196;1;"—";0;"";0;"На рассмотрении";2145194;"16.07.2026 в 07:29"
197;2;"Бумажное";0;"";0;"На рассмотрении";2158170;"16.07.2026 в 13:05"
198;4;"Бумажное";0;"";0;"На рассмотрении";2158264;"16.07.2026 в 13:06"
199;1;"—";0;"";0;"На рассмотрении";2170505;"16.07.2026 в 17:04"
200;2;"Бумажное";0;"";0;"На рассмотрении";2187002;"17.07.2026 в 07:17"
201;5;"Бумажное";0;"";0;"На рассмотрении";2232001;"18.07.2026 в 07:20"
202;1;"—";0;"";0;"Передано в вуз";2241459;"18.07.2026 в 13:11"
